Company Name,Domain,Hourly rate,Address,Main Url,Service Focus,Industry
DEKSIA,https://deksia.com/,$100-$149/hr,Grand Rapids Michigan ,https://99firms.com/advertising-companies/,"Brand Research,Brand Development,Web Development",advertising-companies
Spire Agency,https://spireagency.com/,$150-$199/hr,Addison Texas ,https://99firms.com/advertising-companies/,"Branding,Brand Integration,Advertising",advertising-companies
BrandTuitive,https://www.brandtuitive.com/,$200-$300/hr,New York New York ,https://99firms.com/advertising-companies/,"Branding,Advertising,Marketing Strategy",advertising-companies
Division of Labor,https://www.divisionoflabor.com/,$100-$149/hr,Sausalito California ,https://99firms.com/advertising-companies/,"Advertising,Branding,Web Design",advertising-companies
Anchour,https://www.anchour.com/,$150-$199/hr,Lewiston Maine ,https://99firms.com/advertising-companies/,"Branding,Web Development,Content Development",advertising-companies
Sensis,https://www.sensisagency.com/,$150-$199/hr,Los Angeles California ,https://99firms.com/advertising-companies/,"Marketing Strategy,SEM/SEO,Earned Media,Branding",advertising-companies
REQ,https://req.co/,$150-$199/hr,Washington District of Columbia ,https://99firms.com/advertising-companies/,"Advertising,SEO,PR,Social Media,Branding",advertising-companies
Jacob Tyler,https://www.jacobtyler.com/,$150-$199/hr,San Diego California ,https://99firms.com/advertising-companies/,"Advertising Campaigns,Media Planning,Outdoor Advertising,UX,Design & Development",advertising-companies
IPNY,https://ipny.com/,$200-$300/hr,New York New York ,https://99firms.com/advertising-companies/,"Advertising,Digital Marketing,Social Media",advertising-companies
THIEL,https://thiel.com/,$100-$149/hr,Milwaukee Wisconsin ,https://99firms.com/advertising-companies/,"Marketing,Website Design,Branding",advertising-companies
Hub Strategy and Communication,https://hubsanfrancisco.com/,$150-$199/hr,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,Marketing Strategy,Media Planning & Buying",advertising-companies
GKV,https://gkv.com/,$150-$199/hr,Baltimore Maryland ,https://99firms.com/advertising-companies/,"Advertising,Brand Development,Digital Marketing,Media Planning & Buying,PR",advertising-companies
Bay Creative,https://www.baycreative.com/,$100-$149/hr,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,SEO,UI/UX,PPC",advertising-companies
Power Agency,https://www.poweragency.com/,$100-$149/hr,Louisville Kentucky ,https://99firms.com/advertising-companies/,"Branding & Identity,Digital Marketing,Print Buying,Traditional Advertising",advertising-companies
Citizen Group,http://www.citizengroup.com/,$200-$300,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,Marketing Strategy,Branding",advertising-companies
Pure Fusion Media,https://www.purefusionmedia.com/,$100-$149/hr,Phoenix Arizona ,https://99firms.com/advertising-companies/,"Branding,Advertising,Web Design",advertising-companies
Venthio,https://www.venthio.com/,$200-$300/hr,Dana Point California ,https://99firms.com/advertising-companies/,"Marketing Strategy,Advertising,Branding",advertising-companies
Huntington Pacific Media,https://huntingtonpacificmedia.com/,$150-$199/hr,Irvine California ,https://99firms.com/advertising-companies/,"Social Media Management,Social Media Advertising,Photo and Video Content Production,PPC,Digital Marketing",advertising-companies
Illustria,https://illustria.co/,$100-$149/hr,Washington District of Columbia ,https://99firms.com/branding-companies/,"Branding,Business Consulting,Brand Marketing",branding-companies
DEKSIA,https://deksia.com/,$100-$149/hr,Grand Rapids Michigan ,https://99firms.com/branding-companies/,"Brand Research,Brand Development,Web Development",branding-companies
Spire Agency,https://spireagency.com/,$150-$199/hr,Addison Texas ,https://99firms.com/branding-companies/,"Branding,Brand Integration,Advertising",branding-companies
C42D,https://www.c42d.com/,$150-$199/hr,New York New York ,https://99firms.com/branding-companies/,"Brand Strategy,Brand Identity Design,Web & Digital Design",branding-companies
BrandTuitive,https://www.brandtuitive.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,Advertising,Marketing Strategy",branding-companies
Matchstic,https://matchstic.com/,$150-$199/hr,Atlanta Georgia ,https://99firms.com/branding-companies/,"Branding,Brand Strategy,Brand Identity",branding-companies
Anchour,https://www.anchour.com/,$150-$199/hr,Lewiston Maine ,https://99firms.com/branding-companies/,"Branding,Web Development,Content Development",branding-companies
Brand Juice,https://www.brandjuice.com/,$150-$199/hr,Denver Colorado ,https://99firms.com/branding-companies/,"Branding,Marketing,Advertising",branding-companies
Tenet Partners,https://tenetpartners.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,UX/UI Design,Strategy",branding-companies
Finien,https://www.finien.com/,$200-$300/hr,Long Beach California ,https://99firms.com/branding-companies/,"Branding,Logo Design,Marketing Strategy",branding-companies
Traina,https://trainadesign.com/,$150-$199/hr,San Diego California ,https://99firms.com/branding-companies/,"Branding,Graphic Design & Marketing,Websites & interactive",branding-companies
WANT,https://wantbranding.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Brand Implementation,Brand Evaluation & Research,Brand Definition & Positioning",branding-companies
DeSantis Breindel,https://www.desantisbreindel.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,Digital Strategy,Marketing Strategy",branding-companies
Noble Studios,https://noblestudios.com/,$150-$199/hr,Reno Nevada ,https://99firms.com/branding-companies/,"Pay Per Click,Search Engine Optimization,Web Development",branding-companies
Paragraphs LLC’s,https://paragraphs.com/,$100-$149/hr,Chicago Illinois ,https://99firms.com/branding-companies/,"Branding,Graphic Design,Logo Design",branding-companies
BLVR,https://blvr.com/,$150-$199/hr,San Diego California ,https://99firms.com/branding-companies/,"Branding,Packaging Design,Web Design",branding-companies
Webster,http://websterdesign.com/,$100-$149/hr,Omaha Nebraska ,https://99firms.com/branding-companies/,"Branding,Advertising,Logo Design",branding-companies
Modern8,http://www.modern8.com/,$150-$199/hr,Salt Lake City Utah ,https://99firms.com/branding-companies/,"Branding,Social Media Marketing,Web Design",branding-companies
Salt Branding,https://saltbranding.com/,$150-$199/hr,San Francisco California ,https://99firms.com/branding-companies/,"Branding,Marketing Strategy,Web Design",branding-companies
